district,issue_type,description,priority
Центральный,Снег и наледь,Заявка пользователя: снег и наледь,Высокий
Центральный,Плохой тротуар,Заявка пользователя: плохой тротуар,Средний
Центральный,Парковочные карманы,Заявка пользователя: парковочные карманы,Низкий
Заволжский,Неравномерное освещение,Заявка пользователя: неравномерное освещение,Высокий
Заволжский,Парковочные карманы,Заявка пользователя: парковочные карманы,Низкий
Заволжский,Парковочные карманы,Заявка пользователя: парковочные карманы,Средний
Первомайский,Снег и наледь,Заявка пользователя: снег и наледь,Высокий
Центральный,Парковочные карманы,Заявка пользователя: парковочные карманы,Средний
Заволжский,Снег и наледь,Заявка пользователя: снег и наледь,Средний
Центральный,Снег и наледь,Заявка пользователя: снег и наледь,Средний
Заволжский,Ямы во дворах,Заявка пользователя: ямы во дворах,Низкий
Южный,Снег и наледь,Заявка пользователя: снег и наледь,Средний
Первомайский,Снег и наледь,Заявка пользователя: снег и наледь,Низкий
Южный,Плохой тротуар,Заявка пользователя: плохой тротуар,Низкий
Северный,Ямы во дворах,Заявка пользователя: ямы во дворах,Средний
Южный,Неравномерное освещение,Заявка пользователя: неравномерное освещение,Средний
Южный,Плохой тротуар,Заявка пользователя: плохой тротуар,Средний
Центральный,Парковочные карманы,Заявка пользователя: парковочные карманы,Высокий
Первомайский,Парковочные карманы,Заявка пользователя: парковочные карманы,Средний
Центральный,Ямы во дворах,Заявка пользователя: ямы во дворах,Высокий
Северный,Плохой тротуар,Заявка пользователя: плохой тротуар,Средний
Северный,Плохой тротуар,Заявка пользователя: плохой тротуар,Низкий
Первомайский,Ямы во дворах,Заявка пользователя: ямы во дворах,Средний
Заволжский,Ямы во дворах,Заявка пользователя: ямы во дворах,Средний
Южный,Парковочные карманы,Заявка пользователя: парковочные карманы,Высокий
Южный,Плохой тротуар,Заявка пользователя: плохой тротуар,Средний
Южный,Плохой тротуар,Заявка пользователя: плохой тротуар,Средний
Центральный,Ямы во дворах,Заявка пользователя: ямы во дворах,Высокий
Заволжский,Парковочные карманы,Заявка пользователя: парковочные карманы,Средний
Северный,Снег и наледь,Заявка пользователя: снег и наледь,Средний
Северный,Плохой тротуар,Заявка пользователя: плохой тротуар,Средний
Первомайский,Ямы во дворах,Заявка пользователя: ямы во дворах,Средний
Первомайский,Неравномерное освещение,Заявка пользователя: неравномерное освещение,Высокий
Центральный,Плохой тротуар,Заявка пользователя: плохой тротуар,Низкий
Центральный,Ямы во дворах,Заявка пользователя: ямы во дворах,Средний
Заволжский,Неравномерное освещение,Заявка пользователя: неравномерное освещение,Средний
Южный,Парковочные карманы,Заявка пользователя: парковочные карманы,Средний
Северный,Ямы во дворах,Заявка пользователя: ямы во дворах,Средний
